"","word","score","sentiment0"
"1617","dream",1,"positive"
"1618","true",2,"positive"
"1619","warm",1,"positive"
"1620","lol",3,"positive"
"1621","hard",-1,"negative"
"1622","love",3,"positive"
"1623","share",1,"positive"
"1624","amazing",4,"positive"
"1625","yeah",1,"positive"
"1626","chaotic",-2,"negative"
"1627","amazing",4,"positive"
"1628","beautiful",3,"positive"
"1629","share",1,"positive"
"1630","share",1,"positive"
"1631","amazing",4,"positive"
"1632","shared",1,"positive"
"1633","loving",2,"positive"
"1634","fun",4,"positive"
"1635","worth",2,"positive"
"1636","save",2,"positive"
"1637","share",1,"positive"
"1638","limited",-1,"negative"
"1639","pretty",1,"positive"
"1640","stressed",-2,"negative"
"1641","share",1,"positive"
"1642","stop",-1,"negative"
"1643","loved",3,"positive"
"1644","share",1,"positive"
"1645","share",1,"positive"
"1646","charged",-3,"negative"
"1647","love",3,"positive"
"1648","share",1,"positive"
"1649","solution",1,"positive"
"1650","loyalty",3,"positive"
"1651","share",1,"positive"
"1652","favorite",2,"positive"
"1653","united",1,"positive"
"1654","excited",3,"positive"
"1655","true",2,"positive"
"1656","beautiful",3,"positive"
"1657","warm",1,"positive"
"1658","amazing",4,"positive"
"1659","natural",1,"positive"
"1660","avoid",-1,"negative"
"1661","easy",1,"positive"
"1662","warm",1,"positive"
"1663","nice",3,"positive"
"1664","stressed",-2,"negative"
"1665","beautiful",3,"positive"
"1666","save",2,"positive"
"1667","prepared",1,"positive"
"1668","awesome",4,"positive"
"1669","save",2,"positive"
"1670","save",2,"positive"
"1671","avoid",-1,"negative"
"1672","cares",2,"positive"
"1673","worth",2,"positive"
"1674","trouble",-2,"negative"
"1675","love",3,"positive"
"1676","love",3,"positive"
"1677","save",2,"positive"
"1678","save",2,"positive"
"1679","grand",3,"positive"
"1680","amazing",4,"positive"
"1681","fake",-3,"negative"
"1682","hard",-1,"negative"
"1683","missed",-2,"negative"
"1684","easy",1,"positive"
"1685","warm",1,"positive"
"1686","worth",2,"positive"
"1687","smile",2,"positive"
"1688","nice",3,"positive"
"1689","forget",-1,"negative"
"1690","leave",-1,"negative"
"1691","fun",4,"positive"
"1692","save",2,"positive"
"1693","enjoy",2,"positive"
"1694","fake",-3,"negative"
"1695","avoid",-1,"negative"
"1696","smile",2,"positive"
"1697","nice",3,"positive"
"1698","forget",-1,"negative"
"1699","worth",2,"positive"
"1700","stingy",-2,"negative"
"1701","save",2,"positive"
"1702","worth",2,"positive"
"1703","favorite",2,"positive"
"1704","laugh",1,"positive"
"1705","disappointed",-2,"negative"
"1706","smile",2,"positive"
"1707","nice",3,"positive"
"1708","forget",-1,"negative"
"1709","leave",-1,"negative"
"1710","prevent",-1,"negative"
"1711","fails",-2,"negative"
"1712","cheerful",2,"positive"
"1713","stop",-1,"negative"
"1714","lucky",3,"positive"
"1715","save",2,"positive"
"1716","stop",-1,"negative"
"1717","lucky",3,"positive"
"1718","helps",2,"positive"
"1719","helps",2,"positive"
"1720","save",2,"positive"
"1721","true",2,"positive"
"1722","disappointed",-2,"negative"
"1723","love",3,"positive"
"1724","save",2,"positive"
"1725","calms",2,"positive"
"1726","helps",2,"positive"
"1727","recommend",2,"positive"
"1728","free",1,"positive"
"1729","save",2,"positive"
"1730","warm",1,"positive"
"1731","humor",2,"positive"
"1732","save",2,"positive"
"1733","leave",-1,"negative"
"1734","avoid",-1,"negative"
"1735","amazing",4,"positive"
"1736","supportive",2,"positive"
"1737","favorite",2,"positive"
"1738","love",3,"positive"
"1739","pleasure",3,"positive"
"1740","warm",1,"positive"
"1741","fail",-2,"negative"
"1742","calm",2,"positive"
"1743","worth",2,"positive"
"1744","trouble",-2,"negative"
"1745","humor",2,"positive"
"1746","stuck",-2,"negative"
"1747","enjoy",2,"positive"
"1748","humor",2,"positive"
"1749","cancelling",-1,"negative"
"1750","escape",-1,"negative"
"1751","warm",1,"positive"
"1752","congratulations",2,"positive"
"1753","love",3,"positive"
"1754","love",3,"positive"
"1755","yummy",3,"positive"
"1756","awful",-3,"negative"
"1757","love",3,"positive"
"1758","nice",3,"positive"
"1759","save",2,"positive"
"1760","ha",2,"positive"
"1761","overload",-1,"negative"
"1762","dream",1,"positive"
"1763","limited",-1,"negative"
"1764","beautiful",3,"positive"
"1765","love",3,"positive"
"1766","matter",1,"positive"
"1767","wow",4,"positive"
"1768","yummy",3,"positive"
"1769","perfect",3,"positive"
"1770","love",3,"positive"
"1771","cheers",2,"positive"
"1772","sweet",2,"positive"
"1773","perfect",3,"positive"
"1774","sweet",2,"positive"
"1775","perfect",3,"positive"
"1776","yummy",3,"positive"
"1777","lol",3,"positive"
"1778","fun",4,"positive"
"1779","lol",3,"positive"
"1780","heaven",2,"positive"
"1781","perfect",3,"positive"
"1782","yummy",3,"positive"
"1783","warm",1,"positive"
"1784","convinced",1,"positive"
"1785","bloody",-3,"negative"
"1786","love",3,"positive"
"1787","warm",1,"positive"
"1788","dream",1,"positive"
"1789","wow",4,"positive"
"1790","warm",1,"positive"
"1791","sweet",2,"positive"
"1792","cheers",2,"positive"
"1793","favorite",2,"positive"
"1794","bloody",-3,"negative"
"1795","warm",1,"positive"
"1796","joy",3,"positive"
